Título,Preço,Classificação
Hide Away (Eve Duncan #20),£11.84,One
Furiously Happy: A Funny Book About Horrible Things,£41.46,Four
Everyday Italian: 125 Simple and Delicious Recipes,£20.10,Five
Equal Is Unfair: America's Misguided Fight Against Income Inequality,£56.86,One
Eleanor & Park,£56.51,Five
Dirty (Dive Bar #1),£40.83,Four
Can You Keep a Secret? (Fear Street Relaunch #4),£48.64,One
Boar Island (Anna Pigeon #19),£59.48,Three
A Paris Apartment,£39.01,Four
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",£38.77,One
Troublemaker: Surviving Hollywood and Scientology,£48.39,Two
The Widow,£27.26,Two
"The Sleep Revolution: Transforming Your Life, One Night at a Time",£11.68,Four
The Improbability of Love,£59.45,One
The Art of Startup Fundraising,£21.00,Three
Take Me Home Tonight (Rock Star Romance #3),£53.98,Three
Sleeping Giants (Themis Files #1),£48.74,One
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",£21.15,Two
Playing with Fire,£13.71,Three
Off the Hook (Fishing for Trouble #1),£47.67,Three
